Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
1981.01.001,Navy blue and fuschia pink silk textile sample ,Fiber; products; Textile; materials,Navy blue and fuschia pink silk textile sample from China.,1930-1939,Unknown,China,Perfect condition.,"Warp = silk; Weft = cotton, Pile is silk, burnt out to create patttern",KHW66H,Irene Paskewitz,
1981.02.014,Black and cream Scottish tweed coat,Costume; Garments; Coats,Black and cream Scottish tweed coat lined in black satin.,1950-1959,Unknown,"Lagholi, Scotland",Good condition.,"Label reads: ""Made in Lagholi Scotland Border Tweed 100% Wool""",KHW66C,Beate Ziegart,
1981.02.015,Primrose gray wool coat with rolled collar,Costume; Garments; Coats,Gray wool coat with rolled collar trimmed with fabric bow. Double row of large self-fabric buttons. Vertical welt pockets. Lined in black satin. ,1950-1959,Primrose,"Toronto, Canada",Good condition.,"Label reads: ""Fashioned by Primrose, New York, Toronto. Superfine luxury worsted""",KHW64A,Beate Ziegart,
1981.02.019,Cambric petticoat with deep ruffle,Costume; Garments; Underwear; Skirts,Cambric petticoat with deep ruffle,1880-1900,Unknown,,Fair condition. Tear at back seam.,Fabric is very stiff. ,Box 207,Beate Ziegart,
1981.03.001A+B,Oldric Royce cocktail dress with petal shaped bodice and skirt,Costume; Garments; Dress,"A. Pale green cocktail dress with short sleeves. Petal-inspired bodice. Petal-like panels create skirt. Under-crinoline, side zip. B. Matching chiffon wrap.",1950-1959,Oldric Royce,"New York, USA",Poor condition. Dress is rotting underarms.,Could be restored by conservation. Very pretty ensemble.,Box 109,Mrs. Gooderham,
1981.03.002,Pale green chiffon sleeveless dress ,Costume; Garments; Dress,Pale green chiffon sleeveless dress with ruched waist and full skirt. Floating train-like panels from shoulders. Back zipper.,1956-1960,Unknown,,Good condition.,,Box 109,Mrs. Gooderham,
1981.04.001,Navy blue printed silk dress with dolman sleeves,Costume; Garments; Dress,"Navy blue printed silk dress with dolman sleeves. Waist yoke and flared skirt. B. Matching fabric belt. Label reads: ""Original Fashion Preferred Styled by Jack Liebman""",1945-1950,Jack Liebman,,Good condition.,,KHW66B,Karen Mulhallen,
1981.04.005,Mauve wool jacket with notched lapels,Costume; Garments; Jackets,"Mauve wool jacket with notched lapels. Front button closure. Lined in rose silk. Label reads: ""Boyd's Saint Louis. Halloon Ltd.""",1940-1949,Unknown,"Saint Louis, USA",Good condition.,Decorative triangle shaped patches at corners of pockets and notches in lapel.,KHW66B,Karen Mulhallen,
1981.04.011,Printed cotton housedress with short sleeves,Costume; Garments; Dress,Printed cotton housedress with short sleeves and front metal zipper closure. Self-tie belt. Smocking at shoulders. ,1930-1939,Unknown,,Good condition. Fabric is a little faded.,,KHW66B,Karen Mulhallen,
1981.04.013,Black open crown headpiece with veil,Costume; Headgear; Hats,Black open crown headpiece with half face veil.,1950-1960,Unknown,,Fair condition. Veil is torn and crinkled. Minimal signs of wear inside of crown.,,KHW66H,Karen Mulhallen,
1981.04.014,Simpsons black chipstraw hat,Costume; Headgear; Hats,Black chipstraw hat with flat brim. Oversized 6cm grosgrain hatband. ,1960-1969,Simpsons,,Good condition. Grosgrain hatband has  dirt marks on it.,,KHW66H,Karen Mulhallen,
